A01	Badanie ogolne moczu (profil)
E65	Oznaczenie grupy krwi ukladu ABO i Rh
F01	Adenovirus Antygen
F03	Adenovirus Przeciwciala IgA (anty-Adenovirus IgA)
F05	Adenovirus Przeciwciala IgG (anty-Adenovirus IgG)
F07	Adenovirus Przeciwciala IgM (anty-Adenovirus IgM)
F09	Adenovirus IgG/ IgM Przeciwciala (anty-Adenovirus IgG/ IgM)
F11	Astrovirus Antygen
F13	Bunyavirus IgG/ IgM Przeciwciala
F15	Cytomegalovirus (CMV) Antygen pp65
F17	Cytomegalovirus (CMV) Przeciwciala IgA (anty-Cytomegalovirus IgA)
F19	Cytomegalovirus (CMV) Przeciwciala IgG (anty-Cytomegalovirus IgG)
F21	Cytomegalovirus (CMV) Przeciwciala IgG - test potwierdzenia
F22	Cytomegalovirus (CMV) Przeciwciala IgG - Awidnosc
F23	Cytomegalovirus (CMV) Przeciwciala IgM (anty-Cytomegalovirus IgM)
F24	Cytomegalovirus (CMV) Przeciwciala IgM - test potwierdzenia
F25	Cytomegalovirus (CMV) Przeciwciala IgG/ IgM
F26	Cytomegalovirus (CMV) DNA
F27	Enterovirus Przeciwciala IgA (anty-Enterovirus IgA)
F28	Enterovirus Przeciwciala IgM (anty-Enterovirus IgM)
F29	Enterovirus IgG Przeciwciala (anty-Enterovirus IgG)
F30	HTLV1 Antygen
F31	HTLV 1/2 Antygen
F32	HTLV 1/2 Przeciwciala
F33	Parvovirus B19 Przeciwciala IgG (anty-Parvovirus IgG)
F34	Parvovirus B19 Przeciwciala IgM (anty-Parvovirus IgM)
F35	Parvovirus B19 IgG/ IgM Przeciwciala
F36	Rotavirus Antygen
F37	Rotavirus/ Adenovirus Antygen
F38	Wirus brodawczaka ludzkiego (HPV) HPV-DNA
F39	Wirus Dengue Przeciwciala IgG (anty-Dengue IgG)
F40	Wirus Dengue Przeciwciala IgM (anty-Dengue IgM)
F41	Wirus Dengue Przeciwciala IgG/ IgM (anty-Dengue IgG/ IgM)
F42	Wirus Epstein Barr Przeciwciala IgG (anty-Epstein-Barr (EA) IgG
F43	Wirus Epstein Barr Przeciwciala IgM (anty-Epstein-Barr (EA) IgM
F44	Wirus Epstein Barr Przeciwciala IgA (anty Epstein-Barr (EBNA) IgA
F45	Wirus Epstein Barr Przeciwciala IgG (anty-Epstein-Barr (EBNA) IgG
F46	Wirus Epstein Barr Przeciwciala IgM (anty-Epstein-Barr (EBNA) IgM
F47	Wirus Epstein Barr Przeciwciala IgA (anty-Epstein-Barr (VCA) IgA
F48	Wirus Epstein Barr Przeciwciala IgG (anty-Epstein-Barr (VCA) IgG
F49	Wirus Epstein Barr Przeciwciala IgG (anty-Epstein-Barr (VCA) IgG (ilosciowy)
F50	Wirus Epstein Barr Przeciwciala IgM (anty-Epstein-Barr (VCA) IgM
F51	Wirus Epstein Barr Przeciwciala IgG/ IgM (anty-Epstein-Barr IgG/ IgM)
F52	Wirus Epstein Barr Przeciwciala IgA/ IgM
F53	Wirus Epstein Barr IgG Przeciwciala
F54	Wirus Epstein Barr Przeciwciala IgG - test potwierdzenia
F55	Wirus Epstein Barr Przeciwciala heterofilne
F56	Wirus Epstein Barr Przeciwciala IgM
F57	Wirus Herpes Simplex typu 1 Przeciwciala IgA (anty-Herpes Simpl. V. 1 IgA)
F58	Wirus Herpes Simplex typu 1 Przeciwciala IgG
F59	Wirus Herpes Simplex typu 1 Przeciwciala IgG (ilosciowo)
F60	Wirus Herpes Simplex typu 1 Przeciwciala IgM
F61	Wirus Herpes Simplex typu 1 Przeciwciala IgM (ilosciowo)
F62	Wirus Herpes Simplex typu 1 Przeciwciala IgG/ IgM (anty-Herpes Simpl. V. 1 IgG/ IgM)
F63	Wirus Herpes Simplex typu 1/2 Przeciwciala IgA (anty-Herpes Simpl. V. 1/2 IgA)
F64	Wirus Herpes Simplex typu 1/2 IgG Przeciwciala (anty-Herpes Simpl. V. 1/2 IgG)
F65	Wirus Herpes Simplex typu 1/2 Przeciwciala IgM (anty-Herpes Simpl. V. 1/2 IgM)
F66	Wirus Herpes Simplex typu 2 Przeciwciala IgG (anty-Herpes Simpl. V. 2 IgG)
F67	Wirus Herpes Simplex typu 2 Przeciwciala IgG (anty-Herpes Simpl. V. 2 IgG) (ilosciowo)
F68	Wirus Herpes Simplex typu 2 Przeciwciala IgA (anty-Herpes Simpl. V. 2 IgA)
F69	Wirus Herpes Simplex typu 2 Przeciwciala IgM
F70	Wirus Herpes Simplex typu 2 Przeciwciala IgM (ilosciowo)
F71	Wirus Herpes Simplex typu 2 Przeciwciala IgG/ IgM (anty-Herpes Simpl. V. 2 IgG/ IgM)
F72	Wirus Herpes Simplex typu 1/2 Przeciwciala IgG/ IgM screening (anty-Herpes Simpl. V. 1/2 IgG/ IgM)
F73	Wirus Influenza A Antygen
F74	Wirus Influenza A Przeciwciala IgA (anty-Influenza IgA)
F75	Wirus Influenza A Przeciwciala IgG (anty-Influenza IgG)
F76	Wirus Influenza A Przeciwciala IgM (anty-Influenza IgM)
F77	Wirus Influenza A Przeciwciala IgG/ IgM (anty-Influenza IgG/ IgM)
F78	Wirus Influenza B Antygen
F79	Wirus Influenza B Przeciwciala IgA (anty-Influenza IgA)
F80	Wirus Influenza B Przeciwciala IgG (anty-Influenza IgG)
F81	Wirus Influenza B Przeciwciala IgM (anty-Influenza IgM)
F82	Wirus Influenza B Przeciwciala IgG/ IgM (anty-Influenza IgG/ IgM)
F83	Wirus Influenza, Parainfluenzy, Adenowirus Antygen
F84	Wirus kleszczowego zapalenia mozgu (TBE) IgG (anty-TBE virus IgG)
F85	Wirus kleszczowego zapalenia mozgu (TBE) IgM (anty-TBE virus IgM)
F86	Wirus kleszczowego zapalenia mozgu (TBE) IgG/ IgM (anty-TBE virus IgG/ IgM)
F87	Wirus/ przeciwciala nabytego niedoboru odpornosci (HIV) Antygen p24
F88	Wirus/ przeciwciala nabytego niedoboru odpornosci (HIV) Antygen (ilosciowo)
F89	Wirus/ przeciwciala nabytego niedoboru odpornosci (HIV) Przeciwciala calkowite
F90	Wirus/ przeciwciala nabytego niedoboru odpornosci (HIV) Przeciwciala (test potwierdzajacy)
F91	Wirus/ przeciwciala nabytego niedoboru odpornosci (HIV) Antygen/ Przeciwciala
F92	Wirus/ przeciwciala nabytego niedoboru odpornosci (HIV) RNA / DNA
F93	Wirus nagnminnego zapalenia slinianek przyusznych IgM (anty-Rubulavirus Antygen M) (Rubulavirus)
F94	Wirus nagnminnego zapalenia slinianek przyusznych (Rubulavirus) IgG (anty-Rubulavirus IgG)
F95	Wirus nagminnego zapalenia slinianek przyusznych (Rubulavirus) Przeciwciala IgG/ IgM (anty-Rubulavirus IgG/ IgM)
F96	Wirus Odry (Morbillivirus) Przeciwciala IgG (anty-Morbillivirus IgG)
F97	Wirus Odry (Morbillivirus) Przeciwciala IgM (anty-Morbillivirus IgM)
F98	Wirus Parainfluenzy typ 1 Przeciwciala IgG
F99	Wirus Parainfluenzy typ 1 Przeciwciala IgG/ IgM (anty-Parainfluenza 1 IgG/ IgM)
G01	?-2-antyplazmina
G03	Antytrombina III (AT III)
G05	Bialko C
G07	Bialko S
G09	Czas czesciowej tromboplastyny (PTT)
G11	Czas czesciowej tromboplastyny po aktywacji (APTT)
G13	Czas fibrynolizy (lizy skrzepu euglobulin)
G15	Czas krwawienia
G17	Czas krzepniecia osocza po uwapnieniu
G19	Czas krzepniecia pelnej krwi
G21	Czas protrombinowy (PT)
G23	Czas reptylazowy (RT)
G25	Czas trombinowy (TT)
G26	Czynnik krzepniecia II (FII)
G28	Czynnik krzepniecia IXAg (FIXAg)
G29	Czynnik krzepniecia V (FV)
G31	Czynnik krzepniecia VII (FVII)
G33	Czynnik krzepniecia VIII (FVIII)
G34	Czynnik krzepniecia VIII Ag (FVIIIAg)
G35	Czynnik krzepniecia VIII - podjednostki
G37	Czynnik krzepniecia X (FX)
G39	Czynnik krzepniecia XI (FXI)
G41	Czynnik krzepniecia XII (FXII)
G43	Czynnik krzepniecia XIII (FXIII)
G45	Czynnik plytkowy 4
G47	Czynnik von Willebranda (vWF)
G49	D-Dimer
G53	Fibrynogen (FIBR)
G55	Fibrynopeptyd A (FIBP A)
G57	Fibrynopeptyd B (FIBP B)
G59	Fragmenty protrombiny 1 i 2
G61	Heparyna
G63	Heparyna niskoczasteczkowa
G65	Inhibitor aktywatora plazminogenu 1 (PAI1)
G67	Inhibitor aktywatora plazminogenu 2 (PAI2)
G68	Miedz (Cu)
G69	Inhibitory krzepniecia
G70	Oznaczenie aktywnosci czynnika IX
G71	Kininogen (120000) (HMWK)
G73	Kompleks trombina/ antytrombina III (TAT)
G75	Monomery fibryny
G77	Produkty degradacji fibryny (FDP)
G79	Plazminogen
G81	Prekalikreina
G83	Tkankowy aktywator plazminogenu (TPA)
G85	Tromboelastogram
I01	Acetooctan
I02	Acylokarnityny
I03	Acylotransferaza lecytyna-cholesterol (LCAT)
I05	Adrenalina
I07	Aktywnosc reninowa osocza (ARO)
I09	Albumina
I11	Albumina glikowana
I13	Aldolaza
I15	Aldosteron
I16	Aminokwasy
I17	Aminotransferaza alaninowa (ALT)
I19	Aminotransferaza asparaginianowa (AST)
I21	Aminotransferaza asparaginianowa mitochondrialna
I23	Amoniak
I25	Amylaza
I27	Amylaza trzustkowa
I29	Amyloid
I31	Androstendion
I33	Androsteron
I34	Angiotensyna I
I35	Angiotensyna II
I37	Anhydraza weglanowa
I39	?-1-Antychymotrypsyna (ACT)
I41	Antygen CA 125 (CA125)
I43	Antygen CA 15-3 (CA15-3)
I45	Antygen CA 19-9 (CA19-9)
I47	Antygen CA 549
I49	Antygen CA 72-4 (CA72-4)
I51	Antygen CYFRA 21-1
I52	Antygen nowotworowy HE4
I53	Antygen karcynoembrionalny (CEA)
I55	Antygen polipeptydowy (TPA)
I57	Antygen polipeptydowy swoisty (TPS)
I59	Antygen raka plaskonablonkowego (SCC)
I61	Antygen swoisty dla stercza (PSA) calkowity
I63	Antygen swoisty dla stercza (PSA) wolny
I65	?-1-Antytrypsyna
I67	Apolipoproteina B
I69	Apolipoproteina E, izotypy
I71	Apolipoproteina AI
I73	Apolipoproteina AII
I74	Apolipoproteina E, fenotyp
I75	Arginaza
I77	Bialko calkowite
I79	Bialko calkowite, rozdzial elektroforetyczny
I81	Bialko C-reaktywne (CRP)
I82	Bialko S-100
I83	Bialko wiazace hormony plciowe (SHBP)
I84	Bialko PAPP-A – osoczowe bialko ciazowe A
I85	Bialko wiazace retinol (RBP)
I86	Bialko – immunofiksacja
I87	Bilirubina bezposrednia
I89	Bilirubina calkowita
I90	Bilirubina delta
I91	Bilirubina posrednia
I93	Biotynidaza
I95	Ceruloplazmina
I97	Chlorek(Cl)
I99	Cholesterol calkowity
J41	HLA B27
K01	Cholesterol HDL
K02	Chitotriozydaza
K03	Cholesterol LDL
K04	Cukry proste
K05	Cholesterol wolny
K07	Cholesterol, estry
K09	Chymotrypsyna
K11	CO<MV>2 calkowity
K12	CRF (czynnik uwaniajacy kortykotropine)
K13	Cykliczny AMP (cAMP)
K15	Cynk (Zn)
K16	Cystatyna C
K17	Cysteina
K19	Cystyna
K21	Czynnik reumatoidalny (RF)
K23	Dehydrataza ?-aminolewulinianu
K25	Dehydroepiandrosteron niezwiazany (DHEA)
K27	Dehydroepiandrosteronu siarczan (DHEAS)
K29	Dehydrogenaza glukozo-6-fosforanu (G6PDH)
K30	D-/L- arabinitol
K31	Dehydrogenaza glutaminianowa (GLDH)
K33	Dehydrogenaza mleczanowa (LDH)
K35	Dehydrogenaza mleczanowa, izoenzymy
K45	Dehydrogenaza ?-hydroksymaslanowa (HBDH)
K47	Dekarboksylaza uroporfirynogenu
K49	11-Dezoksykortykotestosteron (DOC)
K51	11-Dezoksykortyzol
K53	Dezoksypirydynolina (DPD)
K55	Dihydrotestosteron
K58	Dopelniacz (calkowita aktywnosc, CH50)
K59	Dopelniacz, czynnik B
K61	Dopelniacz, czynnik D
K63	Dopelniacz, czynnik H
K65	Dopelniacz, czynnik P
K67	Dopelniacz, skladowa C1q
K69	Dopelniacz, skladowa C1r
K71	Dopelniacz, skladowa C1s
K73	Dopelniacz, skladowa C2
K75	Dopelniacz, skladowa C3
K77	Dopelniacz, skladowa C4
K79	Dopelniacz, skladowa C5
K81	Elastaza neutrofilowa
K83	Elastaza trzustkowa
K85	Enolaza neuronowa swoista
K87	?-Endorfina
K89	Enzym konwertujacy angiotensyne (ACE)
K91	Erytropoetyna (EPO)
K93	Esteraza acetylocholinowa
K95	Esteraza cholinowa surowicy(pseudocholinesteraza)
K97	Esterazy nieswoiste
K99	Estradiol
L01	Estriol
L03	Fenyloalanina
L05	Ferrytyna
L07	?-fetoproteina (AFP)
L08	Fibronektyna
L09	Fluorek (F)
L11	Fosfataza alkaliczna
L13	Fosfataza alkaliczna izoenzym kostny
L15	Fosfataza kwasna calkowita
L16	Fosfataza kwasna oporna na winian (TRAP)
L17	Fosfataza kwasna sterczowa (PAP)
L19	Fosfatydylogliceryna
L21	Fosfolipidy calkowite
L23	Fosforan nieorganiczny
L25	Fruktoza
L27	Fruktozamina
L28	Glikozaminoglikany
L29	Galaktoza
L31	Gamma glutamylotranspeptydaza (GGTP)
L33	Gastryna
L35	Glicerol wolny
L37	Globulina wiazaca tyroksyne (TBG)
L39	Globulina wiazaca witamine D
L41	Glukagon
L43	Glukoza z krwi zylnej
L45	Glutation zredukowany erytrocytow (GSH)
L46	Gonadotropina kosmowkowa – podjednostka beta (?-HCG) 
L47	Gonadotropina kosmowkowa (HCG)
L55	Hemoglobina glikowana (HbA1c)
L57	Hemoglobina wolna
L59	Hemopeksyna
L62	Homocysteina
L63	Hormon adrenokortykotropowy (ACTH)
L65	Hormon folikulotropowy (FSH)
L67	Hormon luteinizujacy (LH)
L69	Hormon tyreotropowy (TSH)
L71	Hormon wzrostu (GH)
L73	17-Hydroksykorykosteroidy, calkowite (17-OHCS)
L75	18-Hydroksydezoksykortykosteron
L77	18- Hydroksykortykosteron
L79	17-Hydroksyprogesteron
L81	17-Hydroksypregnenolon
L83	Hydroksyprolina
L85	Immunoglobuliny A (IgA)
L87	Immunoglobuliny D (IgD)
L89	Immunoglobuliny E calkowite (IgE)
L91	Immunoglobuliny E swoiste (IgE)
L93	Immunoglobuliny G (IgG)
L95	Immunoglobuliny M (IgM)
L96	Inhibior C1-esterazy
L97	Insulina
L99	Interferon
M01	Interleukina 1
M03	Interleukina 2
M05	Interleukina 6
M06	Interleukina 8
M07	Jod (J)
M09	Kachektyna (TNF)
M11	Kalcytonina
M13	?-karoten
M15	Katecholaminy
M17	17-Ketosterydy, calkowite (17-KS)
M18	Kinaza fosfokreatynowa (CK)
M19	Kinaza fosfokreatynowa izoenzym CK-MB (CKMB)
M21	Kinaza fosfokreatynowa, izoenzymy
M22	Kinaza glicerolowa
M23	Kinaza fosfokreatynowa, izoformy
M25	Kobalt (Co)
M27	Koproporfiryna
M29	Kortykosteron
M30	Kwas 3,7,11,15 – tetrametylo heksadekanowy (fitanowy)
M31	Kortyzol
M33	Kortyzol wolny
M34	Kortykoidy wolne
M35	Kreatyna
M37	Kreatynina
M38	Ksyloza
M39	Kwas 5-hydroksy-indolooctowy (5-HIAA)
M41	Kwas foliowy
M43	Kwas homowanilinowy (HVA)
M45	Kwas moczowy
M47	Kwas wanilinomigdalowy (VMA)
M49	Kwas ?-hydroksymaslowy
M51	Kwas ?-aminolewulinowy (ALA)
M52	Kwas p-aminobenzoesowy (PABA)
M53	Kwasy zolciowe
M55	Kwasnosc miareczkowa
M57	Laktogen lozyskowy
M59	Laktoza
M61	Lecytyna
M62	Leptyna
M63	Leucyloaminopeptydaza (LAP)
M65	Leucyna
M67	Lipaza
M69	Lipoproteina a [Lp(a)]
M71	Lipoproteiny/lipidy, rozdzial
M73	Lit (Li)
M75	Lizozym (muramidaza)
M76	L-karnityna calkowita
M77	Luka anionowa
M78	L-karnityna wolna
M79	Luka osmotyczna
M81	lańcuchy ciezkie
M82	Kwasy tluszczowe bardzo dlugolańcuchowe (VLCFA)
M83	lańcuchy lekkie kappa
M85	lańcuchy lekkie lambda
M87	Magnez calkowity (Mg)
M89	Magnez zjonizowany (Mg<M^>++)
M91	?-2-Makroglobulina
M92	?2-mikroglobulina
M93	Mangan (Mn)
M95	Metionina
M97	Metoksyadrenalina
M99	Metoksykatecholaminy calkowite
N01	Metoksynoradrenalina
N11	Mleczan
N13	Mocznik
N15	Molibden (Mo)
N17	N-Acetyloglukozaminidaza (NAG)
N19	Neopteryna
N21	Noradrenalina
N22	NT-proANP
N23	5'-Nukleotydaza
N24	NT-proBNP
N25	Osmolarnosc
N26	Orozomukoid
N27	Osteokalcyna
N29	Parathormon (PTH)
N30	Parathormon intact (iPTH)
N33	Peptyd C
N34	Peptyd natriuretyczny typu B (BNP)
N35	Peroksydaza glutationowa
N37	Pirogronian
N39	Pirydynolina (PYD)
N40	Podjednostka ? hormonow glikoproteidowych
N41	Porfiryny calkowite
N42	Karboksyporfiryny
N43	Porfobilinogen
N44	Oligosacharydy
N45	Potas (K)
N47	Prealbumina
N49	Pregnandiol
N50	Palmitoilotransferaza karnitynowa IiII (CPT I i CPT II)
N51	Pregnantriol
N53	Pregnenolon
N55	Progesteron
N57	Proinsulina
N58	Prokalcytonina
N59	Prolaktyna
N60	Protoporfiryna cynkowa
N61	Protoporfiryny
N63	Przeciwciala przeciw antygenom nadnerczy
N65	Przeciwciala przeciw antygenom przytarczyc
N66	Przeciwciala przeciw bialkom bogatym w cytruline (CCP)
N67	Przeciwciala przeciw blonie podstawnej klebkow nerkowych (anty-GMB)
N69	Przeciwciala przeciw cytoplazmie (ANCA)
N71	Przeciwciala przeciw czynnikowi wewnetrznemu Castle'a (IFA)
N73	Przeciwciala przeciw desmogleinie
N75	Przeciwciala przeciw DNA dwuniciowemu (dsDNA)
N77	Przeciwciala przeciw DNA jednoniciowemu (ssDNA)
N79	Przeciwciala przeciw endomysium
N81	Przeciwciala przeciw gliadynie klasy IgG
N83	Przeciwciala przeciw gliadynie, klasy IgA
N85	Przeciwciala przeciw histonom
N87	Przeciwciala przeciw insulinie
N89	Przeciwciala przeciw kardiolipinie
N91	Przeciwciala przeciw komorkom miesni gladkich
N93	Przeciwciala przeciw komorkom miesni szkieletowych
N95	Przeciwciala przeciw komorkom miesnia sercowego
N97	Przeciwciala przeciw komorkom okladzinowym zoladka
N99	Przeciwciala przeciw komorkom wysp trzustki
O01	Przeciwciala przeciw limfocytom
O03	Przeciwciala przeciw mielinie
O05	Przeciwciala przeciw mitochondriom
O07	Przeciwciala przeciw neutrofilom
O09	Przeciwciala przeciw peroksydazie tarczycowej
O11	Przeciwciala przeciw plytkom krwi
O12	Identyfikacja alloprzeciwcial
O13	Przeciwciala przeciw receptorowi insuliny
O15	Przeciwciala przeciw receptorowi tyreotropiny
O17	Przeciwciala przeciw retikulinie
O18	Przeciwciala przeciw tyreoglobulinie
O19	Przeciwciala przeciw tyreotropinie
O21	Przeciwciala przeciwjadrowe (ANA)
O22	Przedsionkowy peptyd natriuretyczny (ANP)
O23	Receptory hormonow sterydowych
O24	Receptor IL2
O25	Reduktaza glutationu
O26	Receptor IL6
O27	Renina
O28	Rozpuszczalny receptor transferyny (sTfR)
O29	Rownowaga kwasowo-zasadowa (pH, pCO2, pO2, HCO3, BE)
O31	Selen (Se)
O32	Somatomedyna C (IGF-1)
O33	Serotonina
O34	Rybonukleozyd 5-aminoimidazolo-4-N-bursztynylokarboksyamidowy (SAICAr)
O35	Sod (Na)
O37	Syntaza uroporfirynogenu
O39	Szczawian
O41	Testosteron
O43	Transferyna
O45	Transferyna, wskaznik nasycenia zelazem
O47	Transferyna z niedoborem weglowodanow (CDT)
O48	Transferyna, izoformy
O49	Triglicerydy
O51	Trijodotyronina calkowita (TT3)
O52	Siarczyny
O53	Trijodotyronina odwrotna (rT3)
O54	Sjalooligosacharydy
O55	Trijodotyronina wolna (FT3)
O59	Troponina I
O61	Troponina T
O62	Kwasy organiczne
O63	Trypsyna
O65	Tyreoglobulina
O66	Kwas orotowy
O67	Tyroksyna calkowita (TT4)
O69	Tyroksyna wolna (FT4)
O73	Uroporfiryny
O74	Urydylotransferaza galaktozo – 1 fosforanowa (GALT)
O75	Wapń zjonizowany (Ca2+)
O77	Wapń calkowity (Ca)
O79	Wazopresyna (ADH)
O81	Witamina A
O83	Witamina B12
O85	Witamina C (kwas askorbinowy)
O87	Witamina D - 1, 25 OH
O89	Witamina D - 24, 25 OH
O91	Witamina D - 25 OH
O92	Wolne kwasy tluszczowe
O93	zelazo - calkowita zdolnosc wiazania (TIBC)
O95	zelazo (Fe)
P01	1-hydroksypiren
P03	2,5-heksanodion
P05	Alkaloidy opium
P07	Amfetamina
P09	Aminopiryna
P11	Arsen
P13	Barbiturany
P15	Benzen
P17	Benzoesowy kwas
P19	Chrom (Cr)
P21	Diazepam
P23	Disulfiram
P25	Dwufenylohydantoina
P27	Etylenowy glikol
P29	Etylobenzen
P31	Etylowy alkohol
P33	Fenol
P37	Glimid
P39	Glin
P41	Hemoglobina tlenkoweglowa
P43	Kadm (Cd)
P44	Kanabinoidy
P45	Kokaina
P47	Ksylen
P49	Leki
P51	Lotne zwiazki organiczne
P55	Meprobamat
P57	Metadon
P59	Metakwalon
P60	Metamfetamina
P61	Methemoglobina (MetHb)
P63	Metylohipurowy alkohol
P65	Metylowy alkohol
P67	Migdalowy kwas
P68	Morfina
P69	Nikiel (Ni)
P71	Olow (Pb)
P73	p-aminofenol
P75	Paracetamol
P77	p-nitrofenol
P79	Pochodne benzodwuazepiny
P81	Pochodne fenotiazyny
P83	Polichlorowane bifenyle
P85	Propranolol
P89	Rtec (Hg)
P91	Salicylany
P93	Styren
P95	Tal (Tl)
P97	Tetrachloroetylen
P99	Tetrahydrokanabinal
Q40	Palmitynian, utlenianie
R01	Toluen
R03	Trojchlorooctowy kwas
R05	Trojcykliczne antydepresanty
R07	Wanad (Ve)
S01	Bacillus cereus Antygen enterotoksyny
S03	Bacteroides fragilis DNA enterotoksyny (fragilizyny)
S05	Bordetella pertussis Przeciwciala IgA
S07	Bordetella pertussis Przeciwciala IgG
S09	Bordetella pertussis Przeciwciala IgM
S11	Bordetella pertussis Przeciwciala IgG/ IgM (anty-B. pertusis IgG/ IgM)
S13	Bordetella pertussis IgA/ toksyna
S15	Bordetella pertussis IgG/ toksyna
S17	Bordetella pertussis IgM/ toksyna (anty-B.pertusis toksyna IgM)
S19	Bordetella pertussis Przeciwciala IgG/ IgA (anty-B. pertusis toksyna IgG/ IgA)
S21	Borrelia burgdorferi (Lyme) IgG Przeciwciala (anty-B.burgdorferi IgG)
S23	Borrelia burgdorferi (Lyme) Przeciwciala IgG - test potwierdzajacy
S25	Borrelia burgdorferi (Lyme) Przeciwciala IgM (anty-B.burgdorferi IgM)
S27	Borrelia burgdorferi (Lyme) Przeciwciala IgM - test potwierdzajacy
S29	Borrelia burgdorferi (Lyme) IgG/ IgM Przeciwciala (anty-B.burgdorferi IgG/ IgM)
S31	Borrelia burgdorferi (Lyme) Przeciwciala IgG/ IgM - test potwierdzajacy
S33	Borrelia afzelli Przeciwciala IgG
S35	Borrelia afzelli Przeciwciala IgM
S37	Borrelia Przeciwciala (calkowite)
S39	Brucella Przeciwciala IgA (anty-Brucella IgA)
S41	Brucella IgG Przeciwciala (anty-Brucella IgG)
S43	Brucella Przeciwciala IgM (anty-Brucella IgM)
S45	Brucella Przeciwciala (calkowite)
S47	Ehrlichia Przeciwciala IgG Ia
S49	Campylobacter Antygen (Campylobacter Antygen)
S51	Campylobacter Przeciwciala IgG (anty-Campylobacter IgG)
S53	Campylobacter Przeciwciala IgA (anty-Campylobacter IgA)
S55	Campylobacter Przeciwciala IgM (anty-Campylobacter IgM)
S59	Chlamydia Antygen (Chlamydia Antygen)
S61	Chlamydia Przeciwciala IgG
S63	Chlamydophila pneumoniae Przeciwciala IgA (anty-Ch. pneumoniae IgA)
S65	Chlamydophila pneumoniae Przeciwciala IgM (anty-Ch. pneumoniae IgM)
S67	Chlamydophila pneumoniae Przeciwciala IgG (anty-Ch. pneumoniae IgG)
S69	Chlamydia trachomatis Antygen
S71	Chlamydia trachomatis Przeciwciala IgA (anty-Ch. trachomatis IgA)
S73	Chlamydia trachomatis Przeciwciala IgG (anty-Ch. trachomatis IgG)
S75	Chlamydia trachomatis Przeciwciala IgM
S77	Chlamydia trachomatis Przeciwciala IgG/ IgM
S79	Chlamydia trachomatis DNA
S80	Clostridium difficile Toksyna A/ Antygen
S81	Clostridium difficile Antygen/ Toksyna A + B
S82	Clostridium difficile Antygen
S83	Clostridium difficile DNA toxyn A i B
S84	Clostridium perfringens Antygen enterotoksyny
S85	Clostridium tetani Przeciwciala IgG/ toksyna
S86	Clostridium tetani Przeciwciala IgG/ toksyna (ilosciowo)
S87	Corynebacterium diphtheriae Przeciwciala IgG
S88	Corynebacterium diphtheriae Przeciwciala IgG (anty-C.diphtheriae toksyna IgG)
S89	Corynebacterium diphtheriae Przeciwciala IgG (anty-C.diphtheriae toksyna IgG) (ilosciowo)
S90	Coxiella burnetii (Goraczka Q) IgG
S91	Coxiella burnetii IgA
S92	Coxiella burnetii IgM
S93	Escherichia coli O157 (EHEC) Antygen
S94	Escherichia coli O157 (EHEC) Przeciwciala
S95	Escherichia coli Antygen werotoksyny (VT1, VT2)
S96	Escherichia coli (EPEC) Antygen (surowica poliwalentna)
S97	Escherichia coli (EPEC) Antygen (surowica trojwalentna)
S98	Escherichia coli (EPEC) Antygen (surowica monowalentna)
